id,title,description,link,image_link,availability,price,condition,brand
prod_01KJ39Q0JXPP60GHFNF0Z6HC2P,Arm Chair,"Descubre nuestra poltrona con estructura en madera de líneas limpias. Diseñada para ofrecer comodidad y resaltar materiales naturales, es perfecta para añadir calidez y un toque contemporáneo a cualquier habitación de tu hogar.",https://www.mistdesignco.com/poltrona-armchair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/afaac2f3-287a-4c48-bf66-0a8ecaa6e41e.png,in stock,1912000.00 COP,new,Mist Design
prod_01KJ39Q0SZPT9RCBEWMJSBHYP8,Astro Chair,"Descubre una pieza disruptiva y moderna con tapizado en pana acanalada azul. Su diseño único y geometría compacta realzan cualquier ambiente, añadiendo color y modernidad sin sacrificar comodidad.",https://www.mistdesignco.com/pieza-disruptiva-astro-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/1fc5fe81-29ec-484d-b293-ae2939a3b85d.png,in stock,1498000.00 COP,new,Mist Design
prod_01KJ39Q0TAB51Q21WGA06D7RD3,Belli Chair,"Descubre la poltrona robusta de alto impacto visual, ideal para zonas de descanso. Incluye cojines cilíndricos y esféricos, ofreciendo confort y un diseño modular que invita al relax total.",https://www.mistdesignco.com/poltrona-robusta-belli-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/17efe3a6-2632-49b4-844d-353d179af0c8.png,in stock,3555000.00 COP,new,Mist Design
prod_01KMJXVT2ZVRB5NW46QMDJPDPY,Bellini Sofa,"Descubre nuestro icónico sofá modular con diseño capitoné profundo, que redefine el confort de lujo. Su estructura versátil se adapta a diversos espacios, combinando estética arquitectónica y sofisticación, tapizado en textiles de alta resistencia. Ideal para tu hogar.",https://www.mistdesignco.com/bellini-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9677c145-cc41-4320-b191-97581be790d4.png,in stock,8680000.00 COP,new,Mist Design
prod_01M0T79N76P2M3D866FY2GDHMW,Book Holder,"Descubre nuestro sujetalibros book holder de autorel, una pieza escultural que redefine la funcionalidad y el orden en el interiorismo contemporáneo. Ideal para aquellos que buscan artículos de decoración que combinen estilo y utilidad.",https://www.mistdesignco.com/tienda-decoracion-sujetalibros,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/e34f58bd-91c2-41c4-b28c-23380ecd111e.png,in stock,380000.00 COP,new,Mist Design
prod_01KJ39Q0SRGZW6JX6863BK5APM,Bubble Chair,"Descubre la poltrona con curvas versátiles que se adapta a cualquier estilo decorativo. Su estructura acolchada ofrece suavidad y elegancia, ideal para salones modernos.",https://www.mistdesignco.com/poltrona-bubble-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ca5f5da4-07e1-4858-88cc-63dfd37f0e06.png,in stock,3555000.00 COP,new,Mist Design
prod_01KNJPB8J2CS2VX09SR1A0YVWF,Bulbs Lamp,"Descubre Bulbs Lamp, la máxima expresión de iluminación de autor. Esta lámpara de suspensión, con su sistema circular de cinco esferas entrelazadas, crea una atmósfera envolvente y lujosa, iluminando todos los rincones de tu espacio.",https://www.mistdesignco.com/bulbs-lamp-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/882e44b4-8b19-415c-81e5-c865f7a22603.png,in stock,2010000.00 COP,new,Mist Design
prod_01KMJR7ZNJFN6Q29FKB6653YNK,Cama Nido,"Descubre nuestra cama circular de baja altura para mascotas, diseñada para facilitar su acceso. Con base de madera de pino y un cojín central de alta densidad, es perfecta para hogares modernos que buscan bienestar animal y estilo.",https://www.mistdesignco.com/cama-circular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b8ddee50-1a66-4a61-981e-7f78809941e4.png,in stock,960000.00 COP,new,Mist Design
prod_01KMJR7ZP2A11TWYRQ8YSRVZTT,Cama Nido Orbit,"Descubre la evolución del modelo nido tradicional, diseñado con un borde elevado perimetral que ofrece mayor protección a tu mascota. Fabricado en madera de pino con cojines hipoalergénicos, asegurando confort y estilo con acabados artesanales de alta calidad.",https://www.mistdesignco.com/modelo-nido-tradicional,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/c9f3e1af-3132-4235-8e00-483a919a9223.png,in stock,1322000.00 COP,new,Mist Design
prod_01KMJR7ZP997SYJCCF1FX3YJQW,Cama Nube,"Descubre la cama tipo nube con diseño orgánico y texturas ultra suaves, perfecta para mascotas que sufren de ansiedad. Proporciona soporte ortopédico y un recubrimiento gentil con la piel. Ideal para un descanso profundo y reparador.",https://www.mistdesignco.com/cama-tipo-nube,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/eccb72ea-239f-441d-bdda-cfd0e8dcabdc.png,in stock,996000.00 COP,new,Mist Design
prod_01M1M20CWTC403X92MNHKN9NZV,Cantilever Chair,"Cantilever Chair | El Icono del Confort y la Geometría. Es un tributo al diseño moderno y a la sofisticación funcional, con estructura en voladizo sin patas traseras.",https://www.mistdesignco.com/cantilever-chair1,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b5117a7f-ba88-4afb-8dee-247edc1fb42d.png,in stock,1346000.00 COP,new,Mist Design
