title,id,price,estado,disponibilidad,canal,etiqueta de feed,idioma,description,link,image_link,envío(país envío),rating average,rating count,todos los clics,update type
Deco Lamp,8735964911312050454,1235000.00 COP,nuevo,en stock,online,CO,es,"Descubre la deco lamp, una luminaria de piso que combina verticalidad y elegancia, inspirada en el diseño clásico. Su estructura dual ofrece dos fuentes de luz, creando un ambiente cálido y sofisticado. Ideal para realzar cualquier espacio con estilo.",https://www.mistdesignco.com/deco-lamp,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/99054a87-3c26-4207-9181-8eac9bb98c20.png,CO,,,1,merge
Curvy Sofa,221197922111662181,3520000.00 COP,nuevo,en stock,online,CO,es,Descubre este sofá que combina curvas suaves y comodidad envolvente. Su diseño sin ángulos rectos y tapizado de alta gama hacen de este mueble una pieza esencial para cualquier salón contemporáneo.,https://www.mistdesignco.com/curvy-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/23b3b7a1-31ca-4523-bde9-155a4df9f7fa.png,CO,,,3,merge
Comedor de Exterior Lounge,1385963955983507756,6020000.00 COP,nuevo,en stock,online,CO,es,"Sala de Exterior Lounge | Sala de Exterior Mid-CenturyLa Sala de Exterior Lounge es una propuesta funcional, alegre y atemporal que convierte cualquier espacio exterior en un lugar idóneo para disfrutar y vivir al aire libre. Reinterpreta la sofisticación del espíritu mid-century a través de líne…",https://www.mistdesignco.com/sala-de-exterior-lounge-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/68210eb1-e21f-41d8-ac97-5e6c3147737b.png,CO,,,0,merge
Bubble Chair,9431748669585599216,3555000.00 COP,nuevo,en stock,online,CO,es,"Descubre la poltrona con curvas versátiles que se adapta a cualquier estilo decorativo. Su estructura acolchada ofrece suavidad y elegancia, ideal para salones modernos.",https://www.mistdesignco.com/poltrona-bubble-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ca5f5da4-07e1-4858-88cc-63dfd37f0e06.png,CO,,,0,merge
Oak Marmol,10330966251246137671,1817000.00 COP,nuevo,en stock,online,CO,es,"Descubre la mesa de centro Oak Marmol, una obra de arte que combina la calidez de la madera maciza de flor morado con la sofisticación de la piedra natural. Ideal para añadir un toque de elegancia a tu espacio.",https://www.mistdesignco.com/oak-marmol-madera-maciza,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/53a79b89-31fc-416d-b035-6eac6b8cd9cf.png,CO,,,5,merge
Astro Chair,700907122785520123,1498000.00 COP,nuevo,en stock,online,CO,es,"Descubre una pieza disruptiva y moderna con tapizado en pana acanalada azul. Su diseño único y geometría compacta realzan cualquier ambiente, añadiendo color y modernidad sin sacrificar comodidad.",https://www.mistdesignco.com/pieza-disruptiva-astro-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/1fc5fe81-29ec-484d-b293-ae2939a3b85d.png,CO,,,2,merge
Pine Wood Table,12409227601353744610,1120000.00 COP,nuevo,en stock,online,CO,es,"Descubre la mesa de centro perfecta para tu sala de estar. Con una base geométrica cónica y una superficie circular de gran formato, esta pieza combina estilo y funcionalidad, anclando tu espacio con elegancia y resistencia.",https://www.mistdesignco.com/mesa-de-centro-conica,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/996bef93-cd38-468a-9a2b-5fda9dca4347.png,CO,,,4,merge
Poltrona lounge,15837391524265047517,1710000.00 COP,nuevo,en stock,online,CO,es,"Mesa de centro Mist | Mesa de Centro ExteriorLa Mesa de Centro Solana es una pieza central que combina funcionalidad, ligereza visual y un marcado carácter mid-century modern. Diseñada como el complemento perfecto para configuraciones de salas exteriores o zonas lounge al aire libre, destaca por …",https://www.mistdesignco.com/mesa-de-centro-lounge-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/0c12cb0e-2084-4e49-ba5c-8a919a978e21.png,CO,,,1,merge
Timeless Table,16085707984306226874,2673000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Timeless Table, una mesa de comedor que trasciende tendencias. Diseñada para ser el corazón de momentos inolvidables, celebra la belleza de la madera noble y ofrece elegancia y maestría en cada detalle.",https://www.mistdesignco.com/timeless-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/50d77052-ee66-42d8-8a7b-a53a4f8c2c96.png,CO,,,0,merge
Cama Nube,12597192621036904664,996000.00 COP,nuevo,en stock,online,CO,es,"Descubre la cama tipo nube con diseño orgánico y texturas ultra suaves, perfecta para mascotas que sufren de ansiedad. Proporciona soporte ortopédico y un recubrimiento gentil con la piel. Ideal para un descanso profundo y reparador.",https://www.mistdesignco.com/cama-tipo-nube,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/eccb72ea-239f-441d-bdda-cfd0e8dcabdc.png,CO,,,11,merge
